jns_karantina;komoditas;satuan;harga;Komsat
H;Amphibia Lainnya;ekor;1;Amphibia Lainnya/ekor
H;Angsa;kilogram;130000;Angsa/kilogram
H;Anjing;ekor;2000000;Anjing/ekor
H;Anti-Serum;botol;100000;Anti-Serum/botol
H;Anti-Serum;box;100000;Anti-Serum/box
H;Anti-Serum;gram;100000;Anti-Serum/gram
H;Anti-Serum;kemasan;100000;Anti-Serum/kemasan
H;Anti-Serum;vial;100000;Anti-Serum/vial
H;Anti-Serum;kilogram;100000;Anti-Serum/kilogram
H;Antigen;box;100000;Antigen/box
H;Antigen;kemasan;100000;Antigen/kemasan
H;Antigen;vial;100000;Antigen/vial
H;Antigen;kilogram;100000;Antigen/kilogram
H;Ayam;ekor;50000;Ayam/ekor
H;Ayam;kilogram;50000;Ayam/kilogram
H;Ayam Bangkok;ekor;500000;Ayam Bangkok/ekor
H;Ayam Ketawa;ekor;500000;Ayam Ketawa/ekor
H;Babi;ekor;2500000;Babi/ekor
H;Bahan Biologis Lainnya;bag;1;Bahan Biologis Lainnya/bag
H;Bahan Biologis Lainnya;botol;1;Bahan Biologis Lainnya/botol
H;Bahan Biologis Lainnya;box;1;Bahan Biologis Lainnya/box
H;Bahan Biologis Lainnya;gram;1;Bahan Biologis Lainnya/gram
H;Bahan Biologis Lainnya;kemasan;1;Bahan Biologis Lainnya/kemasan
H;Bahan Biologis Lainnya;kit;1;Bahan Biologis Lainnya/kit
H;Bahan Biologis Lainnya;lembar;1;Bahan Biologis Lainnya/lembar
H;Bahan Biologis Lainnya;liter;1;Bahan Biologis Lainnya/liter
H;Bahan Biologis Lainnya;milligram;1;Bahan Biologis Lainnya/milligram
H;Bahan Biologis Lainnya;millilitre;1;Bahan Biologis Lainnya/millilitre
H;Bahan Biologis Lainnya;set;1;Bahan Biologis Lainnya/set
H;Bahan Biologis Lainnya;vial;1;Bahan Biologis Lainnya/vial
H;Bahan Biologis Lainnya;kilogram;1;Bahan Biologis Lainnya/kilogram
H;Bahan Diagnostik Lainnya;bag;1;Bahan Diagnostik Lainnya/bag
H;Bahan Diagnostik Lainnya;botol;1;Bahan Diagnostik Lainnya/botol
H;Bahan Diagnostik Lainnya;box;1;Bahan Diagnostik Lainnya/box
H;Bahan Diagnostik Lainnya;carton;1;Bahan Diagnostik Lainnya/carton
H;Bahan Diagnostik Lainnya;drum;1;Bahan Diagnostik Lainnya/drum
H;Bahan Diagnostik Lainnya;each;1;Bahan Diagnostik Lainnya/each
H;Bahan Diagnostik Lainnya;gram;1;Bahan Diagnostik Lainnya/gram
H;Bahan Diagnostik Lainnya;kemasan;1;Bahan Diagnostik Lainnya/kemasan
H;Bahan Diagnostik Lainnya;kit;1;Bahan Diagnostik Lainnya/kit
H;Bahan Diagnostik Lainnya;lembar;1;Bahan Diagnostik Lainnya/lembar
H;Bahan Diagnostik Lainnya;liter;1;Bahan Diagnostik Lainnya/liter
H;Bahan Diagnostik Lainnya;microlitre;1;Bahan Diagnostik Lainnya/microlitre
H;Bahan Diagnostik Lainnya;vial;1;Bahan Diagnostik Lainnya/vial
H;Bahan Diagnostik Lainnya;kilogram;1;Bahan Diagnostik Lainnya/kilogram
H;Bahan Industri Berbasis Hewan/Unggas Lainnya;botol;1;Bahan Industri Berbasis Hewan/Unggas Lainnya/botol
